mainFrameColor,52,121,220
jButton1,246,174,235
jButton2,136,49,195
jButton3,122,10,158
jButton4,188,113,38
jButton5,248,247,107
jButton6,133,134,41
jButton7,179,30,245
jButton8,91,255,212
jButton9,116,18,208
jButton10,22,108,0
jButton11,0,71,179
jButton12,39,232,241
jButton13,232,13,132
jButton14,140,152,178
jButton15,93,191,160
jButton16,162,211,110
jButton17,34,67,186
jButton18,165,67,138
jTextField1,118,219,251
jTextField1TextColor,7,138,14
jLabel1,197,20,243
jPanel1,249,50,90
jPanel2,21,231,143
jPanel3,234,55,66
jPanel4,231,250,37
jPanel5,104,64,54
