mainFrameColor,156,77,149
jButton1,49,114,78
jButton2,118,182,136
jButton3,188,104,119
jButton4,91,80,90
jButton5,115,159,148
jButton6,166,91,215
jButton7,53,95,165
jButton8,155,138,46
jButton9,196,87,152
jButton10,201,142,138
jButton11,102,95,79
jButton12,217,62,102
jButton13,106,175,163
jButton14,182,166,153
jButton15,168,147,137
jButton16,161,133,99
jButton17,164,51,119
jButton18,133,107,74
jTextField1,57,93,205
jTextField1TextColor,149,106,102
jLabel1,92,152,91
jPanel1,173,89,137
jPanel2,138,194,144
jPanel3,28,127,146
jPanel4,199,123,103
jPanel5,98,187,68
